district,date_start,date_end,dengue_A,dengue_B,dysentery_A,dysentery_B,encephalitis_A,encephalitis_B,enteric_fever_A,enteric_fever_B,food_poisoning_A,food_poisoning_B,leptospirosis_A,leptospirosis_B,typhus_f_A,typhus_f_B,viral_hep_A,viral_hep_B,rabies_A,rabies_B,chickenpox_A,chickenpox_B,meningitis_A,meningitis_B,leishmania_A,leishmania_B,tuberculosis_A,tuberculosis_B,wrcd_A,wrcd_B,lepto,dengue
Kandy,2024-10-19,2024-10-25,68,3879,0,34,0,5,0,9,0,59,2,220,2,31,0,11,0,2,6,356,0,13,0,54,0,528,100,100,2,68
Matale,2024-10-19,2024-10-25,7,699,0,14,0,1,0,8,1,27,0,88,0,5,0,8,0,0,1,135,0,19,4,296,0,104,100,100,0,7
Nuwara-Eliya,2024-10-19,2024-10-25,5,315,4,127,0,7,0,10,1,205,2,152,0,39,0,9,0,0,4,222,0,17,0,1,6,229,100,100,2,5
Galle,2024-10-19,2024-10-25,27,1839,0,45,0,22,0,12,0,98,21,771,3,110,0,10,0,1,11,697,2,81,1,4,7,374,100,100,21,27
Hambantota,2024-10-19,2024-10-25,14,750,0,28,0,4,0,5,2,48,5,422,0,46,1,7,0,2,4,277,0,27,14,439,0,131,100,100,5,14
Matara,2024-10-19,2024-10-25,36,1001,0,10,0,6,0,2,0,28,19,468,1,25,2,20,0,0,5,322,0,69,3,104,0,142,100,100,19,36
Jaffna,2024-10-19,2024-10-25,11,5282,1,59,0,2,1,27,0,35,0,18,3,472,0,7,0,1,0,203,1,30,0,1,4,222,100,93,0,11
Kilinochchi,2024-10-19,2024-10-25,1,291,0,17,0,0,0,2,0,2,1,19,0,11,0,0,0,2,0,12,0,6,0,1,0,25,100,100,1,1
Mannar,2024-10-19,2024-10-25,5,287,1,14,0,0,0,1,0,6,2,25,0,13,0,1,0,0,0,10,0,5,0,1,0,56,100,100,2,5
Vavuniya,2024-10-19,2024-10-25,3,170,0,13,0,1,0,2,0,22,1,93,0,5,0,4,0,0,1,41,0,23,0,9,0,34,100,100,1,3
Mullaitivu,2024-10-19,2024-10-25,0,205,0,9,0,0,0,0,0,18,0,68,0,11,0,0,0,2,1,8,0,5,0,13,0,30,100,100,0,0
Batticaloa,2024-10-19,2024-10-25,13,1460,0,115,1,15,0,7,4,64,2,69,0,2,0,21,0,2,3,124,0,45,0,4,1,134,100,100,2,13
Ampara,2024-10-19,2024-10-25,6,920,2,49,0,3,0,2,0,51,3,240,0,7,0,9,0,1,7,319,1,52,0,22,6,226,200,200,3,6
Trincomalee,2024-10-19,2024-10-25,3,640,0,16,0,1,0,3,2,11,0,136,0,12,0,3,0,0,2,80,1,22,0,18,0,105,100,100,0,3
Kurunegala,2024-10-19,2024-10-25,16,2012,0,47,1,35,0,3,0,351,27,590,2,30,0,7,0,4,16,509,3,241,18,553,5,415,100,100,27,16
Puttalam,2024-10-19,2024-10-25,28,1016,1,11,0,4,0,3,0,3,6,222,1,35,0,4,0,1,2,120,3,67,0,33,0,182,100,100,6,28
Anuradhapura,2024-10-19,2024-10-25,5,669,1,33,0,6,0,2,0,43,3,388,0,30,0,14,0,1,6,259,3,55,22,770,6,240,100,100,3,5
Polonnaruwa,2024-10-19,2024-10-25,1,351,1,22,0,3,0,1,1,26,0,237,0,2,0,52,1,1,2,133,1,30,4,443,0,91,100,100,0,1
Badulla,2024-10-19,2024-10-25,6,758,1,35,2,8,1,8,0,56,3,444,1,40,2,44,0,0,9,328,1,35,1,39,6,206,100,100,3,6
Monaragala,2024-10-19,2024-10-25,40,815,0,18,0,4,0,3,1,86,0,594,0,31,2,45,0,1,2,148,1,94,9,222,0,105,90,100,0,40
Ratnapura,2024-10-19,2024-10-25,42,2455,3,102,1,8,0,8,1,30,51,1672,0,27,1,28,0,2,8,328,3,119,1,149,10,307,95,100,51,42
Kegalle,2024-10-19,2024-10-25,20,1789,1,23,1,9,0,10,1,14,14,661,0,30,0,12,0,1,20,764,2,65,0,24,3,308,100,100,14,20
Colombo,2024-10-12,2024-10-18,172,9552,2,35,0,11,1,48,0,22,14,431,0,8,0,9,0,0,9,467,0,35,0,2,59,1749,100,100,14,172
Gampaha,2024-10-12,2024-10-18,120,4491,0,37,2,33,0,14,0,77,26,654,0,11,0,9,0,0,8,370,5,119,0,23,21,981,86,100,26,120
Kalutara,2024-10-12,2024-10-18,44,2369,0,29,0,2,1,34,1,37,27,703,0,8,0,10,0,1,10,529,0,54,0,1,0,493,100,100,27,44
Kandy,2024-10-12,2024-10-18,59,3811,0,34,0,5,0,9,2,59,5,218,0,29,0,11,0,2,13,350,0,13,8,54,16,528,96,100,5,59
Matale,2024-10-12,2024-10-18,32,692,1,14,0,1,0,8,1,26,3,88,1,5,1,8,0,0,3,134,6,19,14,292,2,104,100,100,3,32
Nuwara-Eliya,2024-10-12,2024-10-18,4,310,2,123,0,7,0,10,2,204,0,150,1,39,0,9,0,0,5,218,1,17,0,1,7,223,100,100,0,4
Galle,2024-10-12,2024-10-18,35,1812,0,45,1,22,0,12,3,98,40,750,2,107,0,10,0,1,18,686,6,79,0,3,13,367,90,100,40,35
Hambantota,2024-10-12,2024-10-18,11,736,2,28,1,4,0,5,0,46,11,417,0,46,0,6,0,2,5,273,1,27,2,425,0,131,100,100,11,11
Matara,2024-10-12,2024-10-18,46,965,1,10,0,6,0,2,2,28,19,449,0,24,2,18,0,0,7,317,1,69,5,101,3,142,100,100,19,46
Jaffna,2024-10-12,2024-10-18,10,5271,0,58,0,2,0,26,0,35,1,18,4,469,0,7,0,1,8,203,1,29,0,1,9,218,93,93,1,10
Kilinochchi,2024-10-12,2024-10-18,0,290,0,17,0,0,0,2,0,2,0,18,0,11,0,0,0,2,1,12,0,6,0,1,0,25,100,100,0,0
Mannar,2024-10-12,2024-10-18,2,282,2,13,0,0,0,1,2,6,0,23,0,13,0,1,0,0,0,10,0,5,0,1,1,56,100,100,0,2
Vavuniya,2024-10-12,2024-10-18,1,167,0,13,0,1,0,2,1,22,1,92,0,5,0,4,0,0,1,40,1,23,0,9,0,34,100,100,1,1
Mullaitivu,2024-10-12,2024-10-18,1,205,1,9,0,0,0,0,0,18,0,68,0,11,0,0,0,2,0,7,0,5,3,13,3,30,100,100,0,1
Batticaloa,2024-10-12,2024-10-18,10,1447,4,115,1,14,0,7,1,60,2,67,0,2,1,21,0,2,10,121,1,45,0,4,2,133,100,100,2,10
Ampara,2024-10-12,2024-10-18,7,914,1,47,0,3,0,2,4,51,3,237,0,7,0,9,0,1,10,312,1,51,1,22,6,220,200,200,3,7
Trincomalee,2024-10-12,2024-10-18,5,637,0,16,0,1,0,3,0,9,0,136,0,12,0,3,0,0,0,78,1,21,1,18,5,105,100,100,0,5
Kurunegala,2024-10-12,2024-10-18,16,1996,0,47,1,34,0,3,0,351,17,563,1,28,0,7,0,4,22,493,5,238,28,535,6,410,97,100,17,16
Puttalam,2024-10-12,2024-10-18,11,988,2,10,0,4,0,3,0,3,3,216,0,34,0,4,0,1,2,118,3,64,0,33,0,182,92,100,3,11
Anuradhapura,2024-10-12,2024-10-18,10,664,0,32,0,6,0,2,4,43,7,385,0,30,0,14,0,1,9,253,3,52,19,748,4,234,91,100,7,10
Polonnaruwa,2024-10-12,2024-10-18,10,350,0,21,0,3,0,1,0,25,3,237,0,2,1,52,0,0,2,131,0,29,5,439,0,91,100,100,3,10
Badulla,2024-10-12,2024-10-18,9,752,3,34,0,6,0,7,0,56,8,441,1,39,3,42,0,0,9,319,2,34,1,38,3,200,100,100,8,9
Monaragala,2024-10-12,2024-10-18,34,775,0,18,0,4,0,3,0,85,3,594,0,31,1,43,0,1,9,146,4,93,5,213,4,105,100,100,3,34
Ratnapura,2024-10-12,2024-10-18,45,2413,2,99,0,7,0,8,2,29,44,1621,2,27,1,27,0,2,13,320,2,116,0,148,9,297,85,100,44,45
Kegalle,2024-10-12,2024-10-18,13,1769,2,22,0,8,1,10,0,13,18,647,0,30,1,12,0,1,11,744,3,63,0,24,13,305,82,100,18,13
Colombo,2024-10-05,2024-10-11,169,9380,4,33,0,11,0,47,0,22,10,417,0,8,0,9,0,0,8,458,1,35,0,2,45,1690,100,100,10,169
Gampaha,2024-10-05,2024-10-11,101,4371,0,37,1,31,1,14,0,77,10,628,0,11,0,9,0,0,11,362,1,114,0,23,20,960,64,100,10,101
Kalutara,2024-10-05,2024-10-11,44,2325,3,29,0,2,2,33,0,36,43,676,0,8,0,10,0,1,11,519,1,54,0,1,17,493,100,100,43,44
Kandy,2024-10-05,2024-10-11,58,3752,0,34,2,5,0,9,1,57,10,213,1,29,0,11,0,2,6,337,0,13,0,46,18,512,96,100,10,58
Matale,2024-10-05,2024-10-11,26,660,0,13,0,1,0,8,1,25,2,85,0,4,1,7,0,0,2,131,0,13,9,278,3,102,100,100,2,26
Nuwara-Eliya,2024-10-05,2024-10-11,7,306,3,121,0,7,0,10,0,202,1,150,0,38,1,9,0,0,7,213,0,16,0,1,5,216,100,100,1,7
Galle,2024-10-05,2024-10-11,35,1777,2,45,0,21,0,12,2,95,37,710,6,105,0,10,0,1,22,668,4,73,0,3,13,354,95,100,37,35
Hambantota,2024-10-05,2024-10-11,10,725,0,26,0,3,0,5,1,46,12,406,0,46,0,6,0,2,6,268,0,26,21,423,2,131,92,100,12,10
Matara,2024-10-05,2024-10-11,75,919,1,9,0,6,0,2,0,26,12,430,1,24,3,16,0,0,14,310,3,68,1,96,3,139,94,100,12,75
Jaffna,2024-10-05,2024-10-11,11,5261,0,58,0,2,1,26,1,35,0,17,4,465,0,7,0,1,2,195,0,28,0,1,10,209,100,93,0,11
Kilinochchi,2024-10-05,2024-10-11,2,290,0,17,0,0,0,2,0,2,0,18,0,11,0,0,0,2,2,11,0,6,0,1,5,25,100,100,0,2
Mannar,2024-10-05,2024-10-11,2,280,2,11,0,0,0,1,0,4,1,23,1,13,0,1,0,0,2,10,0,5,0,1,9,55,100,100,1,2
Vavuniya,2024-10-05,2024-10-11,0,166,0,13,0,1,0,2,0,21,4,91,0,5,0,4,0,0,0,39,0,22,0,9,1,34,100,100,4,0
Mullaitivu,2024-10-05,2024-10-11,1,204,0,8,0,0,0,0,0,18,1,68,0,11,0,0,0,2,1,7,0,5,0,10,0,27,100,100,1,1
Batticaloa,2024-10-05,2024-10-11,5,1437,3,111,0,13,0,7,1,59,0,65,0,2,0,20,0,2,3,111,1,44,0,4,2,131,100,100,0,5
Ampara,2024-10-05,2024-10-11,4,907,0,46,0,3,0,2,0,47,4,234,1,7,0,9,0,1,5,302,3,50,0,21,4,214,192,200,4,4
Trincomalee,2024-10-05,2024-10-11,2,632,1,16,0,1,0,3,0,9,0,136,0,12,0,3,0,0,0,78,0,20,1,17,6,100,100,100,0,2
Kurunegala,2024-10-05,2024-10-11,17,1980,2,47,1,33,0,3,0,351,9,546,3,27,0,7,0,4,17,471,6,233,21,507,3,404,97,100,9,17
Puttalam,2024-10-05,2024-10-11,23,977,0,8,0,4,0,3,0,3,3,213,0,34,0,4,0,1,1,116,2,61,1,33,3,182,92,100,3,23
Anuradhapura,2024-10-05,2024-10-11,4,654,0,32,0,6,0,2,0,39,15,378,1,30,0,14,0,1,6,244,2,49,26,729,1,230,91,100,15,4
Polonnaruwa,2024-10-05,2024-10-11,8,340,0,21,0,3,0,1,9,25,1,234,0,2,0,51,0,0,2,129,0,29,13,434,0,91,100,100,1,8
Badulla,2024-10-05,2024-10-11,6,743,0,31,0,6,0,7,0,56,3,433,2,38,4,39,0,0,12,310,0,32,0,37,8,197,94,100,3,6
Monaragala,2024-10-05,2024-10-11,30,741,0,18,0,4,0,3,0,85,5,591,1,31,2,42,0,1,5,137,1,89,4,208,2,101,100,100,5,30
Ratnapura,2024-10-05,2024-10-11,31,2368,1,97,0,7,0,8,2,27,58,1577,0,25,1,26,0,2,19,307,2,114,8,148,12,288,100,100,58,31
Kegalle,2024-10-05,2024-10-11,15,1756,2,20,0,8,0,9,1,13,19,629,3,30,1,11,0,1,21,733,0,60,1,24,2,292,82,100,19,15
Colombo,2024-09-28,2024-10-04,143,9211,1,29,0,11,0,47,0,22,8,407,0,8,0,9,0,0,27,450,1,34,0,2,28,1612,100,100,8,143
Gampaha,2024-09-28,2024-10-04,91,4270,0,37,0,30,0,13,2,77,34,618,1,11,1,9,0,0,21,351,6,113,0,23,19,925,70,100,34,91
Kalutara,2024-09-28,2024-10-04,48,2281,0,26,0,2,0,31,0,36,40,633,0,8,1,10,0,1,22,508,1,53,0,1,18,468,93,100,40,48
Kandy,2024-09-28,2024-10-04,75,3694,2,34,0,3,0,9,0,56,7,203,0,28,0,11,0,2,6,331,0,13,0,46,19,493,100,100,7,75
Matale,2024-09-28,2024-10-04,12,634,0,13,0,1,0,8,3,24,2,83,1,4,0,6,0,0,5,129,0,13,9,269,1,97,100,100,2,12
Nuwara-Eliya,2024-09-28,2024-10-04,8,299,8,118,0,7,0,10,1,202,2,149,1,38,1,8,0,0,6,206,1,16,0,1,4,207,85,100,2,8
Galle,2024-09-28,2024-10-04,46,1742,0,43,1,21,0,12,1,93,38,673,3,99,1,10,0,1,26,646,1,69,0,3,4,331,90,100,38,46
Hambantota,2024-09-28,2024-10-04,10,715,0,26,0,3,0,5,0,45,7,394,1,46,0,6,0,2,0,262,0,26,22,402,4,129,100,100,7,10
Matara,2024-09-28,2024-10-04,22,844,0,8,0,6,0,2,0,26,18,418,3,23,4,13,0,0,3,296,0,65,2,95,7,133,94,100,18,22
Jaffna,2024-09-28,2024-10-04,15,5250,1,58,0,2,1,25,0,34,0,17,11,461,0,7,0,1,12,193,3,28,0,1,0,199,93,93,0,15
Kilinochchi,2024-09-28,2024-10-04,2,288,2,17,0,0,0,2,0,2,0,18,0,11,0,0,0,2,0,9,0,6,0,1,1,20,100,100,0,2
Mannar,2024-09-28,2024-10-04,4,278,0,9,0,0,0,1,0,4,0,22,0,12,0,1,0,0,0,8,0,5,0,1,3,46,100,100,0,4
Vavuniya,2024-09-28,2024-10-04,0,166,0,13,0,1,1,2,0,21,1,87,0,5,0,4,0,0,2,39,1,22,0,9,2,33,100,100,1,0
Mullaitivu,2024-09-28,2024-10-04,1,203,0,8,0,0,0,0,0,18,0,67,0,11,0,0,0,2,0,6,0,5,0,10,0,27,83,100,0,1
Batticaloa,2024-09-28,2024-10-04,15,1432,3,108,0,13,0,7,0,58,1,65,0,2,0,20,0,2,6,108,1,43,0,4,3,124,100,100,1,15
Ampara,2024-09-28,2024-10-04,7,903,0,46,0,3,0,2,0,47,3,230,0,6,0,9,0,1,4,297,1,47,1,21,3,209,192,200,3,7
Trincomalee,2024-09-28,2024-10-04,2,630,0,15,0,1,0,3,0,9,2,136,0,12,0,3,0,0,3,78,1,20,0,16,0,94,100,100,2,2
Kurunegala,2024-09-28,2024-10-04,28,1963,3,45,0,32,0,3,0,351,21,537,0,24,2,7,0,4,14,454,5,227,9,486,4,393,97,100,21,28
Puttalam,2024-09-28,2024-10-04,16,954,0,8,1,4,0,3,0,3,6,210,1,34,0,4,0,1,2,115,1,59,2,32,21,171,85,100,6,16
Anuradhapura,2024-09-28,2024-10-04,9,650,1,32,0,6,0,2,1,39,8,363,0,29,2,14,0,1,11,238,3,47,24,703,0,225,91,100,8,9
Polonnaruwa,2024-09-28,2024-10-04,8,332,1,21,0,3,0,1,1,16,3,233,0,2,0,51,0,0,3,127,0,29,13,421,0,86,78,100,3,8
Badulla,2024-09-28,2024-10-04,9,737,1,31,0,6,0,7,0,56,9,430,0,36,2,35,0,0,6,298,1,32,1,37,6,183,94,100,9,9
Monaragala,2024-09-28,2024-10-04,21,711,3,18,0,4,0,3,1,85,2,586,1,30,0,40,0,1,11,132,3,88,3,204,2,98,91,100,2,21
Ratnapura,2024-09-28,2024-10-04,40,2337,2,96,0,7,0,8,4,25,47,1519,1,25,3,25,0,2,13,288,1,112,0,140,6,263,100,100,47,40
Kegalle,2024-09-28,2024-10-04,25,1741,1,18,1,8,0,9,1,12,29,610,2,27,1,10,0,1,21,712,5,60,0,23,9,281,82,100,29,25
Colombo,2024-09-21,2024-09-27,202,9068,0,28,0,11,0,47,2,22,10,399,0,8,1,9,0,0,5,423,0,33,0,2,28,1612,78,72,10,202
Gampaha,2024-09-21,2024-09-27,96,4179,1,37,0,30,0,13,0,75,23,584,1,10,0,8,0,0,9,330,2,107,2,23,19,925,64,7,23,96
Kalutara,2024-09-21,2024-09-27,34,2233,1,26,0,2,0,31,0,36,12,593,0,8,0,9,0,1,6,486,1,52,0,1,18,468,80,60,12,34
Kandy,2024-09-21,2024-09-27,64,3619,0,32,0,3,0,9,0,56,2,196,0,28,0,11,0,2,5,325,0,13,3,46,19,493,100,100,2,64
Matale,2024-09-21,2024-09-27,16,622,0,13,0,1,0,8,0,21,1,81,0,3,1,6,0,0,0,124,1,13,5,260,1,97,100,69,1,16
Nuwara-Eliya,2024-09-21,2024-09-27,6,291,1,110,0,7,0,10,0,201,1,147,0,37,0,7,0,0,3,200,0,15,0,1,4,207,77,69,1,6
Galle,2024-09-21,2024-09-27,32,1696,0,43,0,20,0,12,2,92,19,635,1,96,0,9,0,1,20,620,1,68,0,3,4,331,85,20,19,32
Hambantota,2024-09-21,2024-09-27,10,705,0,26,0,3,0,5,0,45,4,387,2,45,0,6,0,2,2,262,0,26,4,380,4,129,100,58,4,10
Matara,2024-09-21,2024-09-27,28,822,0,8,0,6,0,2,0,26,8,400,0,20,0,9,0,0,6,293,0,65,0,93,7,133,88,29,8,28
Jaffna,2024-09-21,2024-09-27,8,5235,1,57,0,2,0,24,0,34,0,17,3,450,0,7,0,1,4,181,1,25,0,1,0,199,93,86,0,8
Kilinochchi,2024-09-21,2024-09-27,0,286,0,15,0,0,0,2,0,2,0,18,0,11,0,0,0,2,0,9,0,6,0,1,1,20,100,100,0,0
Mannar,2024-09-21,2024-09-27,14,274,0,9,0,0,0,1,0,4,1,22,0,12,0,1,0,0,1,8,0,5,0,1,3,46,100,100,1,14
Vavuniya,2024-09-21,2024-09-27,2,166,1,13,0,1,0,1,0,21,4,86,0,5,0,4,0,0,0,37,2,21,0,9,2,33,75,100,4,2
Mullaitivu,2024-09-21,2024-09-27,4,202,0,8,0,0,0,0,0,18,0,67,0,11,0,0,0,2,0,6,0,5,0,10,0,27,83,83,0,4
Batticaloa,2024-09-21,2024-09-27,16,1417,0,105,3,13,0,7,3,58,0,64,0,2,1,20,0,2,5,102,0,42,0,4,3,124,93,64,0,16
Ampara,2024-09-21,2024-09-27,5,896,0,46,0,3,0,2,1,47,1,227,0,6,0,9,0,1,4,293,1,46,0,20,3,209,163,83,1,5
Trincomalee,2024-09-21,2024-09-27,3,628,1,15,0,1,0,3,0,9,0,134,0,12,0,3,0,0,2,75,2,19,0,16,0,94,58,83,0,3
Kurunegala,2024-09-21,2024-09-27,22,1935,2,42,0,32,0,3,0,351,14,516,2,24,0,5,0,4,11,440,8,222,7,477,4,393,100,34,14,22
Puttalam,2024-09-21,2024-09-27,16,938,0,8,0,3,0,3,0,3,2,204,0,33,0,4,0,1,1,113,0,58,0,30,21,171,85,46,2,16
Anuradhapura,2024-09-21,2024-09-27,3,641,0,31,0,6,0,2,0,38,1,355,0,29,0,12,0,1,3,227,0,44,5,679,0,225,91,43,1,3
Polonnaruwa,2024-09-21,2024-09-27,5,324,0,20,0,3,0,1,0,15,0,230,0,2,1,51,0,0,4,124,1,29,1,408,0,86,89,78,0,5
Badulla,2024-09-21,2024-09-27,8,728,0,30,0,6,1,7,1,56,8,421,0,36,4,33,0,0,6,292,1,31,3,36,6,183,88,50,8,8
Monaragala,2024-09-21,2024-09-27,19,690,0,15,1,4,0,3,0,84,7,584,1,29,6,40,0,1,4,121,3,85,1,201,2,98,91,55,7,19
Ratnapura,2024-09-21,2024-09-27,32,2297,2,94,0,7,0,8,4,21,47,1472,0,24,0,22,0,2,7,275,1,111,1,140,6,263,80,40,47,32
Kegalle,2024-09-21,2024-09-27,26,1716,0,17,1,7,0,9,0,11,15,581,1,25,0,9,0,1,8,691,2,55,0,23,9,281,73,27,15,26
Colombo,2024-09-14,2024-09-20,226,8866,0,28,4,11,0,47,1,20,8,389,0,8,0,8,0,0,21,418,2,33,0,2,41,1584,78,100,8,226
Gampaha,2024-09-14,2024-09-20,84,4083,2,36,1,30,0,13,0,75,12,561,0,9,0,8,0,0,12,321,1,105,2,21,37,906,64,100,12,84
Kalutara,2024-09-14,2024-09-20,23,2199,4,25,0,2,1,31,0,36,31,581,0,8,1,9,0,1,13,480,2,51,0,1,7,450,80,100,31,23
Kandy,2024-09-14,2024-09-20,76,3555,0,32,0,3,0,9,0,56,0,194,0,28,0,11,1,2,7,320,0,13,0,43,6,474,100,100,0,76
Matale,2024-09-14,2024-09-20,22,606,1,13,0,1,1,8,0,21,2,80,0,3,0,5,0,0,1,124,1,12,10,255,1,96,100,100,2,22
Nuwara-Eliya,2024-09-14,2024-09-20,5,285,0,109,0,7,0,10,0,201,0,146,1,37,0,7,0,0,6,197,0,15,0,1,6,203,77,100,0,5
Galle,2024-09-14,2024-09-20,35,1664,2,43,0,20,2,12,3,90,23,616,2,95,0,9,0,1,16,600,0,67,0,3,11,327,85,100,23,35
Hambantota,2024-09-14,2024-09-20,14,695,0,26,0,3,0,5,0,45,11,383,2,43,0,6,0,2,6,260,1,26,8,376,0,125,100,100,11,14
Matara,2024-09-14,2024-09-20,22,794,0,8,0,6,0,2,0,26,19,392,0,20,1,9,0,0,11,287,1,65,3,93,9,126,88,100,19,22
Jaffna,2024-09-14,2024-09-20,11,5227,2,56,0,2,0,24,0,34,0,17,3,447,0,7,0,1,4,177,4,24,0,1,0,199,93,93,0,11
Kilinochchi,2024-09-14,2024-09-20,0,286,1,15,0,0,0,2,0,2,0,18,0,11,0,0,0,2,1,9,0,6,0,1,0,19,100,100,0,0
Mannar,2024-09-14,2024-09-20,11,260,2,9,0,0,0,1,0,4,0,21,1,12,0,1,0,0,0,7,1,5,0,1,0,43,100,100,0,11
Vavuniya,2024-09-14,2024-09-20,1,164,0,12,0,1,0,1,0,21,4,82,1,5,0,4,0,0,3,37,0,19,0,9,0,31,75,100,4,1
Mullaitivu,2024-09-14,2024-09-20,2,198,0,8,0,0,0,0,1,18,0,67,0,11,0,0,1,2,1,6,0,5,0,10,4,27,83,100,0,2
Batticaloa,2024-09-14,2024-09-20,17,1401,2,105,0,10,1,7,0,55,2,64,0,2,1,19,0,2,2,97,1,42,0,4,5,121,93,100,2,17
Ampara,2024-09-14,2024-09-20,24,1914,3,46,0,9,0,9,0,29,15,729,1,25,0,14,0,2,17,782,2,85,0,43,0,206,163,200,15,24
Trincomalee,2024-09-14,2024-09-20,6,625,1,14,0,1,0,3,2,9,2,134,0,12,0,3,0,0,0,73,1,17,0,16,0,94,58,100,2,6
Kurunegala,2024-09-14,2024-09-20,26,1913,2,40,1,32,0,3,1,351,8,502,2,22,1,5,0,4,20,429,4,214,7,470,8,389,100,100,8,26
Puttalam,2024-09-14,2024-09-20,11,922,0,8,0,3,0,3,0,3,6,202,3,33,0,4,0,1,2,112,2,58,1,30,1,150,85,100,6,11
Anuradhapura,2024-09-14,2024-09-20,8,638,4,31,0,6,0,2,0,38,10,354,0,29,1,12,0,1,13,224,1,44,20,674,10,225,91,100,10,8
Polonnaruwa,2024-09-14,2024-09-20,5,667,0,17,0,0,0,2,1,28,0,63,0,5,0,4,0,0,3,190,0,13,0,0,0,86,89,100,0,5
Badulla,2024-09-14,2024-09-20,6,319,0,20,0,3,0,1,8,15,8,230,0,2,2,50,0,0,5,120,2,28,10,407,5,177,88,100,8,6
Monaragala,2024-09-14,2024-09-20,4,720,2,30,0,6,1,6,2,55,9,413,2,36,3,29,0,0,6,286,1,30,1,33,2,96,91,100,9,4
Ratnapura,2024-09-14,2024-09-20,18,671,0,15,0,3,0,3,0,84,5,577,2,28,0,34,0,1,17,117,3,82,10,200,0,257,80,100,5,18
Kegalle,2024-09-14,2024-09-20,37,2249,2,92,2,7,0,8,1,17,55,1418,0,24,1,22,0,2,11,261,4,110,4,139,0,272,73,100,55,37
Colombo,2024-09-07,2024-09-13,192,8640,2,28,0,7,1,47,0,19,12,381,0,8,0,8,0,0,14,397,1,31,0,2,39,1543,100,100,12,192
Gampaha,2024-09-07,2024-09-13,128,3995,0,33,3,29,0,13,2,75,18,548,1,9,0,8,0,0,10,308,4,103,0,19,20,869,71,100,18,128
Kalutara,2024-09-07,2024-09-13,39,2176,0,21,0,2,0,30,0,36,15,550,0,8,0,8,0,1,5,467,1,28,0,1,0,443,100,100,15,39
Kandy,2024-09-07,2024-09-13,73,3479,0,32,1,3,0,9,2,56,3,194,0,28,0,11,0,1,6,313,0,13,2,43,16,468,100,100,3,73
Matale,2024-09-07,2024-09-13,17,584,1,12,0,1,0,7,1,21,0,78,1,3,0,5,0,0,6,123,0,11,16,245,2,95,100,100,0,17
Nuwara-Eliya,2024-09-07,2024-09-13,1,280,0,109,0,7,1,10,0,201,3,146,2,36,1,7,0,0,5,191,0,15,0,1,9,197,100,100,3,1
Galle,2024-09-07,2024-09-13,38,1629,0,41,0,20,0,10,3,87,31,593,2,93,0,9,0,1,19,584,2,67,0,3,5,316,100,100,31,38
Hambantota,2024-09-07,2024-09-13,10,681,0,26,0,3,0,5,0,45,9,372,1,41,0,6,0,2,4,254,2,25,7,368,4,125,100,100,9,10
Matara,2024-09-07,2024-09-13,31,772,0,8,0,6,0,2,0,26,18,373,0,20,2,8,0,0,6,276,1,64,0,90,6,117,100,100,18,31
Jaffna,2024-09-07,2024-09-13,8,5216,2,54,0,2,1,24,0,34,0,17,3,444,0,7,0,1,11,173,2,20,0,1,5,199,100,93,0,8
Kilinochchi,2024-09-07,2024-09-13,0,286,1,14,0,0,0,2,0,2,0,18,0,11,0,0,0,2,0,8,0,6,0,1,1,19,100,100,0,0
Mannar,2024-09-07,2024-09-13,3,249,0,7,0,0,0,1,4,4,0,21,0,11,0,1,0,0,0,7,1,4,0,1,2,43,100,100,0,3
Vavuniya,2024-09-07,2024-09-13,1,163,0,12,0,1,0,1,0,21,2,78,0,4,0,4,0,0,1,34,0,19,0,9,4,31,100,100,2,1
Mullaitivu,2024-09-07,2024-09-13,2,196,0,8,0,0,0,0,0,17,0,67,0,11,0,0,0,1,1,5,0,5,0,10,0,23,100,100,0,2
Batticaloa,2024-09-07,2024-09-13,16,1384,4,103,0,10,0,6,2,55,1,62,0,2,1,18,0,2,2,95,2,41,0,4,2,116,86,100,1,16
Ampara,2024-09-07,2024-09-13,9,886,2,45,0,3,1,2,12,45,5,225,0,6,0,9,0,1,12,286,1,45,0,20,9,206,192,200,5,9
Trincomalee,2024-09-07,2024-09-13,2,619,0,13,0,1,0,3,0,7,1,132,0,12,0,3,0,0,6,73,2,16,0,16,9,94,100,100,1,2
Kurunegala,2024-09-07,2024-09-13,21,1887,0,38,0,31,0,3,4,350,12,494,0,20,0,4,0,4,16,409,1,210,11,463,8,381,100,100,12,21
Puttalam,2024-09-07,2024-09-13,11,911,1,8,0,3,0,3,0,3,7,196,3,30,0,4,0,1,3,110,2,56,1,29,3,149,85,100,7,11
Anuradhapura,2024-09-07,2024-09-13,7,630,2,27,0,6,0,2,0,38,11,344,1,29,0,11,0,1,6,211,2,43,11,654,7,215,100,100,11,7
Polonnaruwa,2024-09-07,2024-09-13,3,313,2,20,1,3,0,1,0,7,5,222,0,2,3,48,0,0,2,115,0,26,8,397,0,86,100,100,5,3
Badulla,2024-09-07,2024-09-13,15,716,2,28,0,6,0,5,22,53,5,404,2,34,2,26,0,0,7,280,1,29,1,32,5,172,100,100,5,15
Monaragala,2024-09-07,2024-09-13,17,653,0,15,0,3,0,3,0,84,4,572,1,26,1,34,0,1,3,100,1,79,3,190,6,94,91,100,4,17
